Time;Hilo;Episodio;Step;Values;log_prob;Rewards;Remaining_Length;Point;Position;Action;Colision;%CPU;%Memoria;Width;Height
1616866004.7254202;w0;0;0;4.344247624005952;-1.74546282947845;-4.42;74.42;[ 50.  50. -40.];[ 3.52  3.51 -5.11];1;False;0.0;64.17130403757788;128;128
1616866004.9514098;w0;0;1;2.8962322674119436;-1.9026403292503467;-3.5;73.5;[ 50.  50. -40.];[ 4.08  4.07 -5.58];0;False;0.0;64.11549482925045;128;128
1616866005.1772807;w0;0;2;1.9980727763106314;-1.6961276062707389;-2.55;72.55;[ 50.  50. -40.];[ 4.63  4.63 -6.13];2;False;0.0;64.07355394526235;128;128
1616866005.396155;w0;0;3;1.565373254415769;-1.692599637518707;-1.7;71.7;[ 50.  50. -40.];[ 5.16  5.19 -6.51];2;False;0.0;64.07348196434017;128;128
1616866005.6230252;w0;0;4;1.4030096791235822;-1.7853590734350109;-0.65;70.65;[ 50.  50. -40.];[ 5.69  5.92 -7.06];3;False;0.0;64.06410045081651;128;128
1616866005.8428988;w0;0;5;1.3956997654453276;-1.9059189551616549;0.5;69.5;[ 50.  50. -40.];[ 6.21  6.8  -7.64];0;False;0.0;63.971029118442445;128;128
1616866006.0507798;w0;0;6;1.4312920003447411;-1.787249710784183;1.57;68.43;[ 50.  50. -40.];[ 6.72  7.61 -8.18];3;False;100.0;63.979042994444754;128;128
1616866006.2566624;w0;0;7;1.5337235428340739;-1.9040950868444344;2.52;67.48;[ 50.  50. -40.];[ 7.21  8.34 -8.59];0;False;0.0;63.97906698808548;128;128
1616866006.4595463;w0;0;8;1.583593478681221;-1.7496401332193157;3.4;66.6;[ 50.  50. -40.];[ 7.69  8.95 -9.01];1;False;0.0;63.89919215811042;128;128
1616866006.66243;w0;0;9;1.662890904791316;-1.8476146681661179;4.19;65.81;[ 50.  50. -40.];[ 8.15  9.48 -9.37];4;False;0.0;63.87008787191043;128;128
1616866006.8603158;w0;0;10;1.704308596755331;-1.7501675171253437;5.07;64.93;[ 50.  50. -40.];[ 8.65 10.02 -9.89];1;False;0.0;63.87008787191043;128;128
1616866007.070196;w0;0;11;1.7878457952811537;-1.7508452004321555;6.1;63.9;[ 50.  50. -40.];[  9.26  10.57 -10.53];1;False;0.0;63.82778708331144;128;128
1616866007.270081;w0;0;12;1.863159838188004;-1.896732302309965;7.19;62.81;[ 50.  50. -40.];[  9.9  11.1 -11.3];0;False;0.0;63.77459318182309;128;128
1616866007.4669688;w0;0;13;1.9757293012324464;-1.84601026818947;8.21;61.79;[ 50.  50. -40.];[ 10.5   11.59 -12.02];4;False;0.0;63.77310557609811;128;128
1616866007.6588593;w0;0;14;2.0770938826463947;-1.793148602846046;9.17;60.83;[ 50.  50. -40.];[ 11.11  12.08 -12.61];3;False;0.0;63.76660329946151;128;128
1616866007.8552544;w0;0;15;2.1486478783030556;-1.7937428012465568;10.23;59.77;[ 50.  50. -40.];[ 11.83  12.57 -13.27];3;False;0.0;63.49972203367219;128;128
1616866008.060137;w0;0;16;2.2391971783101647;-1.78826368381;11.26;58.74;[ 50.  50. -40.];[ 12.58  12.93 -14.02];5;False;0.0;63.55869840257538;128;128
1616866008.256025;w0;0;17;2.325309457901278;-1.844162023693284;12.2;57.8;[ 50.  50. -40.];[ 13.3   13.13 -14.8 ];4;False;0.0;63.3924944532701;128;128
1616866008.4459157;w0;0;18;2.430127904435646;-1.8438215831942657;13.05;56.95;[ 50.  50. -40.];[ 13.99  13.29 -15.52];4;False;0.0;63.58106047573151;128;128
1616866008.6423101;w0;0;19;2.496370432180933;-1.796410637147192;14.1;55.9;[ 50.  50. -40.];[ 14.9   13.45 -16.4 ];3;False;0.0;63.527050790458496;128;128
1616866008.846193;w0;0;20;2.5815630013384285;-1.8427738930159299;15.22;54.78;[ 50.  50. -40.];[ 15.93  13.6  -17.3 ];4;False;0.0;63.507136068656365;128;128
1616866009.036084;w0;0;21;2.6467859418161366;-1.7839219091734755;16.25;53.75;[ 50.  50. -40.];[ 16.96  13.66 -18.16];5;False;0.0;63.46457135000939;128;128
1616866009.221482;w0;0;22;2.665631949106338;-1.766629563188318;17.23;52.77;[ 50.  50. -40.];[ 18.01  13.68 -18.97];1;False;0.0;63.24517349921577;128;128
1616866009.4063761;w0;0;23;2.6123140777994442;-1.7981667324027688;18.25;51.75;[ 50.  50. -40.];[ 19.12  13.7  -19.85];3;False;0.0;63.24493356280851;128;128
1616866009.6112628;w0;0;24;2.5569442275398027;-1.8403613693831895;19.25;50.75;[ 50.  50. -40.];[ 20.21  13.7  -20.76];4;False;0.0;63.02368820167903;128;128
1616866009.7972531;w0;0;25;2.4781659446373485;-1.8395426800153873;20.14;49.86;[ 50.  50. -40.];[ 21.25  13.64 -21.63];4;False;0.0;63.34755436419132;128;128
1616866009.9831796;w0;0;26;2.3660499288011687;-1.7798207516280398;21.11;48.89;[ 50.  50. -40.];[ 22.48  13.55 -22.57];1;False;0.0;63.30863667893462;128;128
1616866010.1700716;w0;0;27;2.2592391443685105;-1.8376843341054006;22.04;47.96;[ 50.  50. -40.];[ 23.74  13.45 -23.43];4;False;0.0;63.091470236728455;128;128
1616866010.3549654;w0;0;28;2.1355516911326116;-1.787690163052635;22.98;47.02;[ 50.  50. -40.];[ 25.08  13.34 -24.31];1;False;0.0;63.234016456278425;128;128
1616866010.5353708;w0;0;29;2.005554404643273;-1.6988327726033194;23.88;46.12;[ 50.  50. -40.];[ 26.44  13.25 -25.13];2;False;100.0;62.98623412850658;128;128
1616866010.722263;w0;0;30;1.8652747842031825;-1.8027828787544664;24.72;45.28;[ 50.  50. -40.];[ 27.74  13.17 -25.91];3;False;100.0;63.162923298808884;128;128
1616866010.9183915;w0;0;31;1.73079869112205;-1.7761141262352247;25.62;44.38;[ 50.  50. -40.];[ 29.14  13.14 -26.75];5;False;0.0;62.92267497422483;128;128
1616866011.1057916;w0;0;32;1.6351432643980548;-1.804993526497019;26.43;43.57;[ 50.  50. -40.];[ 30.48  13.09 -27.57];1;False;0.0;62.92085145752969;128;128
1616866011.2866879;w0;0;33;1.6090727865159933;-1.6996462166263184;27.18;42.82;[ 50.  50. -40.];[ 31.79  13.01 -28.43];2;False;0.0;63.025799642062864;128;128
1616866011.4715817;w0;0;34;1.6282301564354815;-1.8384637886455306;27.92;42.08;[ 50.  50. -40.];[ 33.15  12.94 -29.36];0;False;0.0;63.040027871013066;128;128
1616866011.6586797;w0;0;35;1.646729737588624;-1.8197139326302991;28.63;41.37;[ 50.  50. -40.];[ 34.47  12.92 -30.23];4;False;0.0;63.01344291708926;128;128
1616866011.8415744;w0;0;36;1.7197157392404987;-1.7742039547202537;29.29;40.71;[ 50.  50. -40.];[ 35.81  12.93 -30.94];5;False;0.0;62.74133103762179;128;128
1616866012.0334651;w0;0;37;1.8101391327690917;-1.7039135870581947;29.89;40.11;[ 50.  50. -40.];[ 37.14  12.95 -31.6 ];2;False;0.0;62.957513740558205;128;128
1616866012.2313554;w0;0;38;1.7438551341082975;-1.7047386945294691;30.52;39.48;[ 50.  50. -40.];[ 38.62  12.99 -32.3 ];2;False;0.0;62.701453606736074;128;128
1616866012.4142768;w0;0;39;1.5257708423214724;-1.8084634303294578;31.11;38.89;[ 50.  50. -40.];[ 39.88  13.11 -32.96];4;False;0.0;62.89191512681479;128;128
1616866012.6092498;w0;0;40;1.355681469570504;-1.8138957192943104;31.86;38.14;[ 50.  50. -40.];[ 41.36  13.38 -33.79];0;False;0.0;62.85321338432462;128;128
1616866012.7981417;w0;0;41;1.2556881247956442;-1.821502011560928;32.49;37.51;[ 50.  50. -40.];[ 42.68  13.64 -34.42];3;False;0.0;62.835362115624875;128;128
1616866012.9880333;w0;0;42;1.165553855287552;-1.8189634067177798;33.14;36.86;[ 50.  50. -40.];[ 44.23  13.94 -34.98];3;False;100.0;62.79805200429678;128;128
1616866013.1704361;w0;0;43;1.1035831104354987;-1.8392603400338154;33.6;36.4;[ 50.  50. -40.];[ 45.75  14.11 -35.62];1;False;0.0;62.58693195955344;128;128
1616866013.3593278;w0;0;44;1.0581608696720237;-1.7917225478064818;33.86;36.14;[ 50.  50. -40.];[ 47.21  14.16 -36.32];5;False;0.0;62.5876517687752;128;128
1616866013.5452213;w0;0;45;1.0811395218508868;-1.7972783394215188;34.03;35.97;[ 50.  50. -40.];[ 48.75  14.17 -37.15];5;False;0.0;62.63345562892011;128;128
1616866013.731115;w0;0;46;1.208643755860587;-1.8023106704974032;34.11;35.89;[ 50.  50. -40.];[ 50.24  14.17 -37.99];5;False;0.0;62.64631622034896;128;128
1616866013.9160097;w0;0;47;1.4689951159315386;-1.8061885096253445;34.11;35.89;[ 50.  50. -40.];[ 51.72  14.17 -38.85];5;False;0.0;62.650827024805345;128;128
1616866014.102902;w0;0;48;1.8098102567508154;-1.7784608575879153;34.03;35.97;[ 50.  50. -40.];[ 53.19  14.17 -39.74];4;False;0.0;62.6497473109727;128;128
1616866014.2827985;w0;0;49;2.1410284349134168;-1.7772670575250809;33.87;36.13;[ 50.  50. -40.];[ 54.63  14.17 -40.6 ];4;False;0.0;62.65025117742793;128;128
1616866014.468692;w0;0;50;2.4557875332948904;-1.7733098852205673;33.63;36.37;[ 50.  50. -40.];[ 56.06  14.17 -41.4 ];2;False;0.0;62.56500177193037;128;128
1616866014.6545854;w0;0;51;2.7290798825990352;-1.80606271194837;33.29;36.71;[ 50.  50. -40.];[ 57.73  14.18 -42.23];5;False;0.0;62.548470153470525;128;128
1616866014.8264878;w0;0;52;2.981165235129269;-1.7542605162871494;32.95;37.05;[ 50.  50. -40.];[ 59.27  14.25 -42.97];0;False;0.0;62.54883005808141;128;128
1616866014.990393;w0;0;53;3.2319251554499377;-1.7828619509720456;32.61;37.39;[ 50.  50. -40.];[ 60.7   14.36 -43.63];3;False;0.0;62.53784097062915;128;128
1616866015.1552987;w0;0;54;3.302421997307598;-1.7485696202988195;32.2;37.8;[ 50.  50. -40.];[ 62.17  14.46 -44.18];0;False;0.0;62.44767286878286;128;128
1616866015.31121;w0;0;55;3.199678997337831;-1.808662600888551;31.72;38.28;[ 50.  50. -40.];[ 63.56  14.51 -44.7 ];2;False;0.0;62.44594532665062;128;128
1616866015.4791136;w0;0;56;2.917838826659037;-1.847418623338124;31.15;38.85;[ 50.  50. -40.];[ 65.05  14.55 -45.13];1;False;0.0;62.445201523788135;128;128
1616866015.659521;w0;0;57;2.497617683925773;-1.786756778302767;30.53;39.47;[ 50.  50. -40.];[ 66.63  14.65 -45.63];3;False;100.0;62.38540937110028;128;128
1616866015.838419;w0;0;58;1.9202228628318223;-1.782012804251697;29.87;40.13;[ 50.  50. -40.];[ 68.18  14.76 -46.21];5;False;0.0;62.34641970492141;128;128
1616866016.015318;w0;0;59;1.2828122752856301;-1.7782066879581888;29.06;40.94;[ 50.  50. -40.];[ 69.75  14.8  -46.86];5;False;0.0;62.34514804196296;128;128
1616866016.1852193;w0;0;60;0.7141833465532139;-1.7755170743621382;28.22;41.78;[ 50.  50. -40.];[ 71.22  14.8  -47.49];5;False;0.0;62.338165892511846;128;128
1616866016.3401313;w0;0;61;0.21620073344021007;-1.8366409631474698;27.42;42.58;[ 50.  50. -40.];[ 72.55  14.8  -48.08];1;False;0.0;62.248141752509916;128;128
1616866016.498041;w0;0;62;-0.25453773436518645;-1.8455370048260114;26.57;43.43;[ 50.  50. -40.];[ 73.88  14.79 -48.7 ];2;False;0.0;62.242071361406374;128;128
1616866016.6489549;w0;0;63;-0.7119331351401006;-1.7703321429325398;25.71;44.29;[ 50.  50. -40.];[ 75.17  14.78 -49.37];5;False;0.0;62.24039180655559;128;128
1616866016.8032372;w0;0;64;-1.1092007459743654;-1.8290599490969748;24.85;45.15;[ 50.  50. -40.];[ 76.46  14.83 -50.06];1;False;0.0;62.1824471642036;128;128
1616866016.9586535;w0;0;65;-1.540819435056568;-1.8572866835987691;24.0;46.0;[ 50.  50. -40.];[ 77.71  14.91 -50.78];2;False;0.0;62.14681660772629;128;128
1616866017.1105661;w0;0;66;-1.9152393498882234;-1.794320011657337;23.11;46.89;[ 50.  50. -40.];[ 78.99  15.01 -51.56];3;False;0.0;62.14638472219323;128;128
1616866017.267476;w0;0;67;-2.178290263926264;-1.7660375003633266;22.22;47.78;[ 50.  50. -40.];[ 80.28  15.15 -52.33];5;False;0.0;62.1394745536643;128;128
1616866017.422387;w0;0;68;-2.4066555035599615;-1.761207379070934;21.38;48.62;[ 50.  50. -40.];[ 81.44  15.27 -53.  ];4;False;0.0;62.062287011450486;128;128
1616866017.5862935;w0;0;69;-2.623994301543534;-1.8687471137392713;20.4;49.6;[ 50.  50. -40.];[ 82.75  15.39 -53.77];2;False;0.0;62.05765623879047;128;128
1616866017.728213;w0;0;70;-2.806109868723912;-1.8170000727725353;19.6;50.4;[ 50.  50. -40.];[ 83.8   15.49 -54.36];1;False;0.0;62.053985211759475;128;128
1616866017.8791258;w0;0;71;-2.9621257892049404;-1.7616214810571442;18.64;51.36;[ 50.  50. -40.];[ 85.08  15.64 -55.04];4;False;100.0;62.00527812108679;128;128
1616866018.02804;w0;0;72;-3.1609501201622945;-1.8748575537185945;17.69;52.31;[ 50.  50. -40.];[ 86.34  15.8  -55.7 ];2;False;0.0;61.97950895094764;128;128
1616866018.173816;w0;0;73;-3.31329219735532;-1.801922971767333;16.7;53.3;[ 50.  50. -40.];[ 87.63  15.98 -56.35];3;False;0.0;61.97084724664575;128;128
1616866018.3227305;w0;0;74;-3.4534993855784037;-1.7565970051760285;15.67;54.33;[ 50.  50. -40.];[ 88.99  16.19 -56.98];5;False;0.0;61.95969020370841;128;128
1616866018.474643;w0;0;75;-3.604490610057208;-1.7636909417348898;14.63;55.37;[ 50.  50. -40.];[ 90.34  16.4  -57.59];4;False;0.0;61.91127103672443;128;128
1616866018.6205597;w0;0;76;-3.7598482227769248;-1.7531286858062205;13.6;56.4;[ 50.  50. -40.];[ 91.63  16.58 -58.19];5;False;0.0;61.891404302203746;128;128
1616866018.7694747;w0;0;77;-3.903719411732509;-1.8060399731729888;12.54;57.46;[ 50.  50. -40.];[ 92.95  16.76 -58.77];1;False;100.0;61.88209476960226;128;128
1616866018.9158986;w0;0;78;-4.089630345720252;-1.8092382093184984;11.4;58.6;[ 50.  50. -40.];[ 94.32  16.94 -59.4 ];3;False;0.0;61.85135891583295;128;128
1616866019.059816;w0;0;79;-4.309035557124743;-1.7423088123521426;10.24;59.76;[ 50.  50. -40.];[ 95.7   17.12 -60.06];0;False;0.0;61.8368907504755;128;128
1616866019.2007346;w0;0;80;-4.455292018919475;-1.8044249921097406;9.09;60.91;[ 50.  50. -40.];[ 97.    17.25 -60.68];1;False;0.0;61.811721421354484;128;128
1616866019.3416543;w0;0;81;-4.643794038527389;-1.740784666646373;7.93;62.07;[ 50.  50. -40.];[ 98.33  17.37 -61.25];0;False;0.0;61.78194531321419;128;128
1616866019.481574;w0;0;82;-4.8180036791366145;-1.7651906691082067;6.81;63.19;[ 50.  50. -40.];[ 99.6   17.47 -61.79];4;False;0.0;61.742091875969194;128;128
1616866019.6234922;w0;0;83;-4.987957705085481;-1.8896894951913863;5.68;64.32;[ 50.  50. -40.];[100.89  17.58 -62.26];2;False;0.0;61.71473912554217;128;128
1616866019.7654119;w0;0;84;-5.16578683568323;-1.8910638372275421;4.5;65.5;[ 50.  50. -40.];[102.24  17.68 -62.74];2;False;0.0;61.67073478845167;128;128
1616866019.914326;w0;0;85;-5.3381268924285195;-1.764911270259318;3.28;66.72;[ 50.  50. -40.];[103.64  17.84 -63.25];4;False;0.0;61.66070544662843;128;128
1616866020.0602427;w0;0;86;-5.52364671262362;-1.7366950941609187;2.07;67.93;[ 50.  50. -40.];[105.04  18.08 -63.8 ];0;False;0.0;61.64726900782217;128;128
1616866020.212155;w0;0;87;-5.755374525697965;-1.7385718708182076;0.83;69.17;[ 50.  50. -40.];[106.5   18.36 -64.31];5;False;0.0;61.6424942733178;128;128
1616866020.3580718;w0;0;88;-5.946863851015494;-1.7645266133900919;-0.36;70.36;[ 50.  50. -40.];[107.96  18.64 -64.68];4;False;0.0;61.61881254992177;128;128
1616866020.4999905;w0;0;89;-6.0915531291172815;-1.896778870036456;-1.47;71.47;[ 50.  50. -40.];[109.3   18.91 -65.  ];2;False;0.0;61.60256885515063;128;128
1616866020.6489062;w0;0;90;-6.300261419993819;-1.7643959085906433;-2.73;72.73;[ 50.  50. -40.];[110.81  19.2  -65.36];4;False;0.0;61.5995216627785;128;128
1616866020.7978199;w0;0;91;-6.456563206583356;-1.8227405695291872;-4.0;74.0;[ 50.  50. -40.];[112.34  19.54 -65.74];3;False;0.0;61.5893483591109;128;128
1616866039.9474356;w0;1;0;4.963528541919038;-1.786408066749464;-4.19;74.19;[ 50.  50. -40.];[ 3.67  3.66 -5.21];5;False;0.0;63.973908355329506;128;128
1616866040.1763108;w0;1;1;3.8627651529434965;-1.7794461096076113;-3.31;73.31;[ 50.  50. -40.];[ 4.23  4.22 -5.6 ];5;False;0.0;63.97292461605976;128;128
1616866040.4031749;w0;1;2;3.093975406387315;-1.775414683572741;-2.44;72.44;[ 50.  50. -40.];[ 4.77  4.77 -5.99];3;False;0.0;63.93484670822845;128;128
1616866040.6250474;w0;1;3;2.7337174611981774;-1.743366266902708;-1.58;71.58;[ 50.  50. -40.];[ 5.31  5.28 -6.43];1;False;0.0;63.864569334543575;128;128
1616866040.8369265;w0;1;4;2.6364951491668793;-1.845806854703523;-0.77;70.77;[ 50.  50. -40.];[ 5.83  5.62 -7.02];4;False;0.0;63.87087966205437;128;128
1616866041.0508034;w0;1;5;2.697420474779864;-1.9111377822696904;0.09;69.91;[ 50.  50. -40.];[ 6.36  5.92 -7.75];0;False;100.0;63.869775954580994;128;128
