Time;Hilo;Episodio;Step;Values;log_prob;Rewards;Remaining_Length;Point;Position;Action;Colision
1619362750.8654857;w0;0;1-> 0;-0.18813520209523416;-1.8189662704206453;17.23;45.53;[ 20.  20. -40.];[ 0.76  0.76 -3.49];4;False
1619362751.101351;w0;0;2-> 0.2578544616699219;-0.4437267481563143;-1.769946327454126;17.73;44.53;[ 20.  20. -40.];[ 1.16  1.12 -4.34];1;False
1619362751.3182273;w0;0;3-> 0.4927198886871338;-0.3728851683027711;-1.8561723022664756;18.19;43.62;[ 20.  20. -40.];[ 1.61  1.41 -5.09];0;False
1619362751.5276153;w0;0;4-> 0.7095956802368164;-0.1780706253191443;-1.7810768669125119;18.63;42.73;[ 20.  20. -40.];[ 2.08  1.69 -5.8 ];3;False
1619362751.730499;w0;0;5-> 0.918982982635498;-0.023440619074186486;-1.7823050884880278;19.0;42.0;[ 20.  20. -40.];[ 2.55  1.94 -6.34];3;False
1619362751.9263866;w0;0;6-> 1.1208677291870117;0.1864612699459206;-1.8065951145004813;19.37;41.26;[ 20.  20. -40.];[ 2.98  2.03 -6.98];4;False
1619362752.1142788;w0;0;7-> 1.317755937576294;0.34600190002646736;-1.8599659360759833;19.73;40.53;[ 20.  20. -40.];[ 3.42  1.98 -7.71];0;False
1619362752.3051693;w0;0;8-> 1.5046474933624268;0.49637755204115896;-1.7998645472649093;20.06;39.88;[ 20.  20. -40.];[ 3.87  1.87 -8.34];4;False
1619362752.4915717;w0;0;9-> 1.6965382099151611;0.5748128106326429;-1.789957885924317;20.36;39.29;[ 20.  20. -40.];[ 4.4   1.76 -8.9 ];5;False
1619362752.6744683;w0;0;10-> 1.8829402923583984;0.6713060925684553;-1.7949271756006768;20.66;38.68;[ 20.  20. -40.];[ 5.    1.64 -9.44];4;False
1619362752.857363;w0;0;11-> 2.0658369064331055;0.7407756204340992;-1.7638796507015688;20.91;38.19;[ 20.  20. -40.];[ 5.54  1.54 -9.86];1;False
1619362753.0322626;w0;0;12-> 2.2487316131591797;0.7888650209054445;-1.791230620697391;21.22;37.56;[ 20.  20. -40.];[  6.24   1.42 -10.4 ];5;False
1619362753.19317;w0;0;13-> 2.42263126373291;0.7928861737155228;-1.7930352941833079;21.53;36.94;[ 20.  20. -40.];[  6.89   1.32 -10.95];3;False
