Time;Hilo;Episodio;Step;Values;log_prob;Rewards;Remaining_Length;Point;Position;Action;Colision
1617461701.995294;w0;0;0;4.442621764631376;-1.8451016514929288;0.95;78.1;[ 50.  50. -40.];[ 1.24  1.23 -3.33];4;False
1617461702.323696;w0;0;0.28789448738098145;2.883073309905834;-1.7436501687430541;1.67;76.66;[ 50.  50. -40.];[ 2.13  2.02 -4.2 ];1;False
1617461702.5631113;w0;0;0.613297700881958;1.9021072697264125;-1.6948751477364903;2.25;75.51;[ 50.  50. -40.];[ 2.92  2.52 -4.91];2;False
1617461702.7890315;w0;0;0.8527126312255859;1.5139553602057336;-1.8553826089144783;2.84;74.33;[ 50.  50. -40.];[ 3.71  3.02 -5.73];4;False
1617461703.010905;w0;0;1.0786337852478027;1.4412085183469132;-1.7858608169771089;3.48;73.05;[ 50.  50. -40.];[ 4.49  3.64 -6.6 ];3;False
1617461703.2307787;w0;0;1.300506591796875;1.4904750807615543;-1.9058806257963565;4.18;71.64;[ 50.  50. -40.];[ 5.41  4.29 -7.53];0;False
1617461703.4367933;w0;0;1.5203814506530762;1.5438574416636521;-1.6901918991689457;4.82;70.36;[ 50.  50. -40.];[ 6.31  4.8  -8.39];2;False
1617461703.6372175;w0;0;1.726395606994629;1.6274662583739459;-1.7811909956220555;5.39;69.22;[ 50.  50. -40.];[ 7.18  5.28 -9.03];5;False
1617461703.8321052;w0;0;1.9268214702606201;1.7193833615287357;-1.8999094196239357;5.97;68.07;[ 50.  50. -40.];[ 8.03  5.82 -9.67];0;False
1617461704.0269942;w0;0;2.1217074394226074;1.812620158098699;-1.690635958226817;6.49;67.02;[ 50.  50. -40.];[  8.82   6.35 -10.17];2;False
1617461704.218884;w0;0;2.316596269607544;1.8220193421100164;-1.756424173153303;7.02;65.96;[ 50.  50. -40.];[  9.64   6.92 -10.57];1;False
1617461704.4097762;w0;0;2.50748610496521;1.8454031599466343;-1.8450663830397733;7.57;64.87;[ 50.  50. -40.];[ 10.43   7.55 -11.02];4;False
1617461704.5996668;w0;0;2.6993777751922607;1.8502323233767104;-1.7830077562902464;8.18;63.64;[ 50.  50. -40.];[ 11.26   8.25 -11.6 ];5;False
1617461704.7985528;w0;0;2.8882689476013184;1.8315847449234344;-1.7596994190303406;8.85;62.3;[ 50.  50. -40.];[ 12.21   8.97 -12.26];1;False
1617461704.9854462;w0;0;3.088155508041382;1.874413039057988;-1.8871154152145122;9.51;60.98;[ 50.  50. -40.];[ 13.14   9.65 -12.95];0;False
1617461705.1723404;w0;0;3.27504825592041;1.913888484894735;-1.7830569346259333;10.17;59.67;[ 50.  50. -40.];[ 14.07  10.32 -13.64];5;False
1617461705.3592327;w0;0;3.4619414806365967;1.9319141264868551;-1.7963583084510641;10.78;58.43;[ 50.  50. -40.];[ 14.99  10.99 -14.18];3;False
1617461705.5471258;w0;0;3.6478347778320312;1.9614791550598398;-1.8812124545212339;11.32;57.36;[ 50.  50. -40.];[ 15.8   11.56 -14.64];0;False
1617461705.751009;w0;0;3.8367271423339844;1.8984306799662087;-1.7662690441797513;11.95;56.1;[ 50.  50. -40.];[ 16.79  12.18 -15.22];1;False
1617461705.9428995;w0;0;4.040611028671265;1.8900821656198212;-1.8400896575416605;12.49;55.02;[ 50.  50. -40.];[ 17.67  12.7  -15.69];4;False
1617461706.1338851;w0;0;4.2325005531311035;1.9013928548902035;-1.6951353681882657;13.07;53.85;[ 50.  50. -40.];[ 18.6   13.23 -16.3 ];2;False
1617461706.3318038;w0;0;4.422487258911133;1.8637012152577874;-1.69622841128387;13.69;52.61;[ 50.  50. -40.];[ 19.61  13.76 -16.95];2;False
1617461706.5326884;w0;0;4.621405124664307;1.8470210426855533;-1.8379876781177373;14.3;51.39;[ 50.  50. -40.];[ 20.57  14.32 -17.6 ];4;False
1617461706.7235804;w0;0;4.8222901821136475;1.8306174633141876;-1.837212302553125;15.02;49.97;[ 50.  50. -40.];[ 21.62  15.05 -18.33];4;False
1617461706.9234655;w0;0;5.0121824741363525;1.8004438893780876;-1.7810505537349146;15.8;48.41;[ 50.  50. -40.];[ 22.8   15.84 -19.1 ];5;False
1617461707.1163552;w0;0;5.212067604064941;1.7708384560913117;-1.7805060245114683;16.55;46.89;[ 50.  50. -40.];[ 24.    16.6  -19.82];5;False
1617461707.3072455;w0;0;5.405956983566284;1.6848374328062343;-1.7003536804801715;17.37;45.26;[ 50.  50. -40.];[ 25.3   17.39 -20.63];2;False
1617461707.4951384;w0;0;5.5958476066589355;1.6594599360775102;-1.8012256341851127;18.16;43.68;[ 50.  50. -40.];[ 26.56  18.16 -21.42];3;False
1617461707.6910272;w0;0;5.784740447998047;1.6045684700610634;-1.7022565934225367;19.0;42.01;[ 50.  50. -40.];[ 27.87  19.02 -22.24];2;False
1617461707.8759234;w0;0;5.98162841796875;1.6157228936553691;-1.8499386390894133;19.7;40.6;[ 50.  50. -40.];[ 28.98  19.75 -22.94];0;False
1617461708.0578165;w0;0;6.165523290634155;1.5885395015441994;-1.8023472781717633;20.43;39.13;[ 50.  50. -40.];[ 30.14  20.52 -23.63];3;False
1617461708.2457101;w0;0;6.346418619155884;1.5498326120422483;-1.7066630301862464;21.19;37.62;[ 50.  50. -40.];[ 31.4   21.36 -24.22];2;False
1617461708.421609;w0;0;6.535311698913574;1.489330882479896;-1.7768264942033234;21.87;36.27;[ 50.  50. -40.];[ 32.56  22.07 -24.8 ];5;False
1617461708.6025064;w0;0;6.71121072769165;1.4210177343911579;-1.7101976392341247;22.53;34.93;[ 50.  50. -40.];[ 33.72  22.8  -25.33];2;False
1617461708.7903984;w0;0;6.892107725143433;1.3102451385416138;-1.82458669678529;23.25;33.5;[ 50.  50. -40.];[ 34.95  23.6  -25.9 ];4;False
1617461708.9782922;w0;0;7.080000162124634;1.208305786920196;-1.8086617695701512;23.97;32.07;[ 50.  50. -40.];[ 36.12  24.45 -26.47];1;False
1617461709.1641853;w0;0;7.267892837524414;1.161221281035544;-1.8292165227787147;24.64;30.71;[ 50.  50. -40.];[ 37.24  25.27 -27.01];0;False
1617461709.348587;w0;0;7.453787088394165;1.1103256677663806;-1.812733763601662;25.37;29.26;[ 50.  50. -40.];[ 38.49  26.15 -27.56];1;False
1617461709.5294836;w0;0;7.63818883895874;1.0578652965106532;-1.8183219174364345;26.08;27.83;[ 50.  50. -40.];[ 39.75  27.05 -28.05];4;False
1617461709.7163773;w0;0;7.8190858364105225;0.998405957495049;-1.7281551718119343;26.82;26.36;[ 50.  50. -40.];[ 41.04  27.95 -28.67];2;False
1617461709.9038064;w0;0;8.00597882270813;0.9526058618012874;-1.732738852026822;27.57;24.85;[ 50.  50. -40.];[ 42.41  28.88 -29.33];2;False
1617461710.095696;w0;0;8.192408561706543;0.8542715355624391;-1.7376575375623833;28.34;23.31;[ 50.  50. -40.];[ 43.8   29.87 -30.01];2;False
1617461710.2845888;w0;0;8.385297298431396;0.7318790130076596;-1.7429045438881094;29.17;21.67;[ 50.  50. -40.];[ 45.21  31.01 -30.74];2;False
1617461710.470482;w0;0;8.574190616607666;0.5625022818987799;-1.7645433580652257;30.01;19.98;[ 50.  50. -40.];[ 46.6   32.25 -31.47];5;False
1617461710.653383;w0;0;8.76008415222168;0.33921353686734435;-1.825366619732324;30.85;18.3;[ 50.  50. -40.];[ 47.94  33.58 -32.18];1;False
1617461710.8282833;w0;0;8.942984819412231;0.1486593782651766;-1.827260368900374;31.65;16.69;[ 50.  50. -40.];[ 49.23  34.9  -32.92];1;False
1617461711.0051825;w0;0;9.117884635925293;-0.02208770744199562;-1.8105945545650954;32.44;15.13;[ 50.  50. -40.];[ 50.51  36.23 -33.77];3;False
1617461711.1783454;w0;0;9.294785261154175;-0.18616179508859299;-1.7841991932652927;33.09;13.82;[ 50.  50. -40.];[ 51.64  37.39 -34.57];0;False
1617461711.3512464;w0;0;9.467947006225586;-0.3326009283292908;-1.7665232122475003;33.7;12.6;[ 50.  50. -40.];[ 52.86  38.6  -35.46];5;False
1617461711.5251474;w0;0;9.639848470687866;-0.43696690385560455;-1.8293283838201457;34.18;11.63;[ 50.  50. -40.];[ 54.09  39.79 -36.21];1;False
1617461711.70009;w0;0;9.814749240875244;-0.45844438354728556;-1.808940116343149;34.53;10.94;[ 50.  50. -40.];[ 55.24  40.9  -36.93];3;False
1617461711.870993;w0;0;9.988692045211792;-0.3557750540281708;-1.7808598059678857;34.76;10.48;[ 50.  50. -40.];[ 56.41  42.01 -37.75];4;False
1617461712.0408952;w0;0;10.160594940185547;-0.24000662064197487;-1.7722252025212704;34.81;10.37;[ 50.  50. -40.];[ 57.56  43.04 -38.62];5;False
1617461712.2157958;w0;0;10.33049750328064;-0.08891008554325674;-1.8021302237516472;34.69;10.62;[ 50.  50. -40.];[ 58.74  43.99 -39.48];3;False
1617461712.3886974;w0;0;10.504397869110107;0.003943086805355822;-1.8275864663513608;34.42;11.16;[ 50.  50. -40.];[ 59.94  44.92 -40.34];1;False
1617461712.5591092;w0;0;10.678299903869629;0.01887018686234221;-1.8100395312472908;34.01;11.99;[ 50.  50. -40.];[ 61.15  45.79 -41.26];2;False
1617461712.7310114;w0;0;10.848711252212524;-0.07410075175668229;-1.7615741069460997;33.55;12.9;[ 50.  50. -40.];[ 62.25  46.56 -42.1 ];0;False
1617461712.908909;w0;0;11.020612239837646;-0.23848323800543714;-1.7617845000298804;32.97;14.07;[ 50.  50. -40.];[ 63.52  47.48 -42.98];0;False
1617461713.0808175;w0;0;11.197511196136475;-0.4395153420745772;-1.793123015076535;32.39;15.22;[ 50.  50. -40.];[ 64.71  48.35 -43.58];3;False
1617461713.2557168;w0;0;11.369419574737549;-0.6291022827307216;-1.813287903567188;31.82;16.37;[ 50.  50. -40.];[ 65.84  49.18 -44.02];1;False
1617461713.428618;w0;0;11.545318603515625;-0.8454669770666148;-1.7935258060436063;31.18;17.63;[ 50.  50. -40.];[ 67.04  49.98 -44.55];4;False
1617461713.5995126;w0;0;11.718219518661499;-1.0812267269572757;-1.7661480370859592;30.54;18.91;[ 50.  50. -40.];[ 68.19  50.72 -45.14];0;False
1617461713.774411;w0;0;11.889112949371338;-1.331618566420091;-1.751393205056209;29.88;20.24;[ 50.  50. -40.];[ 69.37  51.44 -45.68];5;False
1617461713.947313;w0;0;12.064013242721558;-1.5926748814268414;-1.801495771712448;29.2;21.6;[ 50.  50. -40.];[ 70.61  52.18 -46.08];1;False
1617461714.1162167;w0;0;12.235915184020996;-1.7987393357447519;-1.7957088025909222;28.53;22.94;[ 50.  50. -40.];[ 71.81  52.89 -46.49];3;False
1617461714.283121;w0;0;12.404818773269653;-2.0780437131612115;-1.7964840166860871;27.84;24.31;[ 50.  50. -40.];[ 73.    53.59 -47.01];1;False
1617461714.4480271;w0;0;12.5727219581604;-2.397795649357422;-1.7968401800878808;27.16;25.68;[ 50.  50. -40.];[ 74.17  54.19 -47.59];3;False
1617461714.6109338;w0;0;12.737629413604736;-2.6464809715531046;-1.796734444363765;26.5;27.0;[ 50.  50. -40.];[ 75.29  54.73 -48.21];4;False
1617461714.775839;w0;0;12.900534868240356;-3.0123484600409487;-1.788817562142255;25.82;28.36;[ 50.  50. -40.];[ 76.42  55.21 -48.91];1;False
1617461714.9312599;w0;0;13.065441846847534;-3.294204330640653;-1.7868771246041637;25.13;29.73;[ 50.  50. -40.];[ 77.58  55.63 -49.59];1;False
1617461715.0881696;w0;0;13.220861196517944;-3.5613177249717536;-1.7336168857487932;24.46;31.08;[ 50.  50. -40.];[ 78.71  56.03 -50.28];5;False
1617461715.2350852;w0;0;13.377771854400635;-3.86279313702953;-1.7939598070543519;23.81;32.37;[ 50.  50. -40.];[ 79.77  56.4  -50.99];4;False
1617461715.3820019;w0;0;13.523687362670898;-4.136177459837864;-1.8033597828763848;23.18;33.63;[ 50.  50. -40.];[ 80.81  56.76 -51.68];3;False
1617461715.5319169;w0;0;13.67160415649414;-4.403712172708122;-1.7306719366348409;22.49;35.03;[ 50.  50. -40.];[ 81.97  57.14 -52.4 ];5;False
