Time;Hilo;Episodio;Step;Values;log_prob;Rewards;Remaining_Length;Point;Position;Action;Colision
1619363175.8689296;w0;0;1-> 0;-0.19828949191788853;-1.8189429295679067;17.28;45.45;[ 20.  20. -40.];[ 0.79  0.79 -3.56];4;False
1619363176.0878053;w0;0;2-> 0.23386693000793457;-0.4677948962196943;-1.7700889085164295;17.66;44.68;[ 20.  20. -40.];[ 1.1   1.08 -4.21];1;False
1619363176.3051903;w0;0;3-> 0.45174169540405273;-0.3971900482823756;-1.8562611983366648;18.1;43.8;[ 20.  20. -40.];[ 1.54  1.36 -4.93];0;False
1619363176.5142307;w0;0;4-> 0.6701266765594482;-0.22664381284526214;-1.7808050750220723;18.53;42.95;[ 20.  20. -40.];[ 1.99  1.63 -5.61];3;False
1619363176.7181149;w0;0;5-> 0.879166841506958;-0.06824124686607469;-1.7818711428621974;18.88;42.23;[ 20.  20. -40.];[ 2.44  1.88 -6.14];3;False
1619363176.9170008;w0;0;6-> 1.08305025100708;0.10644305557841527;-1.8068633457940149;19.25;41.49;[ 20.  20. -40.];[ 2.87  1.96 -6.79];4;False
1619363177.1088905;w0;0;7-> 1.2819366455078125;0.2769573668185861;-1.8611437161810966;19.62;40.76;[ 20.  20. -40.];[ 3.3   1.89 -7.52];0;False
1619363177.3027792;w0;0;8-> 1.4728269577026367;0.4406021706918795;-1.8002562662352755;19.96;40.07;[ 20.  20. -40.];[ 3.79  1.77 -8.21];4;False
1619363177.4881854;w0;0;9-> 1.667715311050415;0.5651989669102386;-1.7898676989155216;20.25;39.5;[ 20.  20. -40.];[ 4.31  1.64 -8.75];5;False
1619363177.6750774;w0;0;10-> 1.8521218299865723;0.6344579647092742;-1.7951371847726936;20.55;38.89;[ 20.  20. -40.];[ 4.92  1.51 -9.29];4;False
1619363177.8679342;w0;0;11-> 2.0400142669677734;0.6739721627090436;-1.7641984309109184;20.85;38.3;[ 20.  20. -40.];[ 5.58  1.37 -9.8 ];1;False
1619363178.0518284;w0;0;12-> 2.23287034034729;0.7467432524169553;-1.7908632268749163;21.18;37.65;[ 20.  20. -40.];[  6.32   1.24 -10.36];5;False
1619363178.2167342;w0;0;13-> 2.415764808654785;0.7632208342657691;-1.7926032606210236;21.49;37.02;[ 20.  20. -40.];[  6.99   1.13 -10.92];3;False
1619363178.3781505;w0;0;14-> 2.5816702842712402;0.7496185864632793;-1.7878620381439423;21.81;36.38;[ 20.  20. -40.];[  7.68   1.01 -11.52];4;False
1619363178.5350602;w0;0;15-> 2.743086576461792;0.7146731707634676;-1.7932853225262457;22.12;35.76;[ 20.  20. -40.];[  8.37   0.83 -12.15];3;False
1619363178.701972;w0;0;16-> 2.899996519088745;0.7191874203748285;-1.8445351855769683;22.43;35.13;[ 20.  20. -40.];[  9.11   0.6  -12.81];0;False
1619363178.871874;w0;0;17-> 3.066908359527588;0.6774546803879373;-1.78555334798759;22.71;34.58;[ 20.  20. -40.];[  9.88   0.33 -13.42];4;False
1619363179.0317824;w0;0;18-> 3.2368106842041016;0.6406303305065122;-1.7818866635997033;22.93;34.15;[ 20.  20. -40.];[ 10.66   0.04 -13.91];1;False
1619363179.200197;w0;0;19-> 3.396718978881836;0.6095996929638449;-1.7837808420838797;23.15;33.7;[ 20.  20. -40.];[ 11.52  -0.28 -14.45];4;False
1619363179.3830917;w0;0;20-> 3.565133810043335;0.541875501476283;-1.768957948043151;23.36;33.28;[ 20.  20. -40.];[ 12.35  -0.57 -14.98];2;False
1619363179.5629966;w0;0;21-> 3.748028516769409;0.46578089988072613;-1.770523225530849;23.59;32.81;[ 20.  20. -40.];[ 13.3   -0.87 -15.58];2;False
1619363179.7488906;w0;0;22-> 3.9279322624206543;0.38128815845029895;-1.7926177348676526;23.89;32.22;[ 20.  20. -40.];[ 14.36  -1.1  -16.31];3;False
1619363179.9270887;w0;0;23-> 4.1128270626068115;0.2796834106018318;-1.8295959646058848;24.17;31.66;[ 20.  20. -40.];[ 15.3   -1.21 -16.97];0;False
1619363180.1069975;w0;0;24-> 4.292024374008179;0.11414677134857798;-1.7812884861748814;24.43;31.13;[ 20.  20. -40.];[ 16.31  -1.32 -17.62];4;False
1619363180.2769;w0;0;25-> 4.471933603286743;-0.029792029613717075;-1.7724364050204113;24.61;30.79;[ 20.  20. -40.];[ 17.18  -1.42 -18.07];5;False
1619363180.4578052;w0;0;26-> 4.641836643218994;-0.20661627930803605;-1.8067729307525067;24.79;30.42;[ 20.  20. -40.];[ 18.26  -1.55 -18.61];1;False
1619363180.651208;w0;0;27-> 4.822740793228149;-0.3918332915607752;-1.810008010650013;24.97;30.06;[ 20.  20. -40.];[ 19.41  -1.69 -19.19];1;False
1619363180.8221126;w0;0;28-> 5.016143560409546;-0.5196248619294674;-1.8131467629301885;25.16;29.69;[ 20.  20. -40.];[ 20.5   -1.82 -19.87];1;False
1619363180.9970102;w0;0;29-> 5.18704628944397;-0.6817632803456508;-1.7780353786627467;25.33;29.33;[ 20.  20. -40.];[ 21.49  -1.93 -20.58];2;False
1619363181.1659133;w0;0;30-> 5.3609466552734375;-0.823578891441823;-1.764530774359091;25.52;28.96;[ 20.  20. -40.];[ 22.55  -2.05 -21.4 ];5;False
1619363181.3408136;w0;0;31-> 5.530848979949951;-0.9202525431569419;-1.8171751228575208;25.72;28.57;[ 20.  20. -40.];[ 23.65  -2.1  -22.27];0;False
1619363181.5125856;w0;0;32-> 5.705749988555908;-1.022044349497596;-1.824838808041067;25.87;28.27;[ 20.  20. -40.];[ 24.68  -2.13 -23.05];1;False
1619363181.6785016;w0;0;33-> 5.877521276473999;-1.1285802615639235;-1.760964706422074;25.97;28.07;[ 20.  20. -40.];[ 25.71  -2.14 -23.73];5;False
1619363181.8524024;w0;0;34-> 6.043438196182251;-1.2148834349275377;-1.7769906083519122;26.06;27.88;[ 20.  20. -40.];[ 26.72  -2.15 -24.47];2;False
1619363182.0153086;w0;0;35-> 6.217338800430298;-1.324050087892493;-1.7748613105246471;26.14;27.73;[ 20.  20. -40.];[ 27.73  -2.16 -25.23];4;False
1619363182.1772163;w0;0;36-> 6.3802454471588135;-1.3833348188694785;-1.8355763831986647;26.21;27.58;[ 20.  20. -40.];[ 28.74  -2.1  -26.  ];1;False
1619363182.3431695;w0;0;37-> 6.542152643203735;-1.4348989839076598;-1.7765908365292737;26.25;27.49;[ 20.  20. -40.];[ 29.8   -2.02 -26.76];2;False
1619363182.5170712;w0;0;38-> 6.708106994628906;-1.471785582204473;-1.7755342505984086;26.27;27.46;[ 20.  20. -40.];[ 30.94  -1.91 -27.57];4;False
1619363182.6859741;w0;0;39-> 6.881007671356201;-1.4367326626992116;-1.8088613975010506;26.28;27.45;[ 20.  20. -40.];[ 32.    -1.75 -28.33];3;False
1619363182.8598738;w0;0;40-> 7.050909519195557;-1.3406718590252251;-1.8408535635247243;26.24;27.51;[ 20.  20. -40.];[ 33.19  -1.56 -29.13];1;False
