Action	Reward	Loss	Remaining	length	Punto	objetivo				
#############	EPISODIO	0#################								
Punto	Encontrado									
8	45	5,179386616	1,340994532	[	0	0	-10,]	[2,2471904337351134e-09	-0,008062789	-9,808625221252441]
Punto	Encontrado									
0	7,373524509	7,198426247	20,06571885	[	14	-13	-16,]	[0,39686957001686096	0,353061378	-10,83703899383545]
8	7,409805936	3,865185261	19,74855873	[	14	-13	-16,]	[0,766081690788269	-0,006564016	-11,128933906555176]
8	7,478274284	4,997788429	19,17532939	[	14	-13	-16,]	[1,1344436407089233	-0,219652012	-11,018476486206055]
8	7,524454402	9,464466095	18,80625991	[	14	-13	-16,]	[1,4955085515975952	-0,208142489	-10,511238098144531]
3	7,536589628	4,462964535	18,71150534	[	14	-13	-16,]	[1,8542792797088623	-0,010624362	-9,753016471862793]
5	7,519077797	9,401531219	18,84853348	[	14	-13	-16,]	[2,2112362384796143	0,07353913	-8,998061180114746]
8	7,506872401	3,490705013	18,94517151	[	14	-13	-16,]	[2,5702695846557617	0,29012996	-8,09903621673584]
8	7,471898977	6,281148911	19,22736384	[	14	-13	-16,]	[2,9352331161499023	0,736973286	-6,786134243011475]
8	7,392290363	5,545713425	19,90047294	[	14	-13	-16,]	[3,292983293533325	1,391714573	-5,10400390625]
3	7,273996588	3,585659027	20,98771989	[	14	-13	-16,]	[3,6475179195404053	2,230391502	-3,1800801753997803]
7	7,133236692	3,674282551	22,43856178	[	14	-13	-16,]	[4,000732421875	2,9417274	-1,1201947927474976]
3	7,000779416	8,715438843	23,9902611	[	14	-13	-16,]	[4,145776748657227	3,214352846	-0,1676633358001709]
6	6,944631233	4,027273178	24,71181576	[	14	-13	-16,]	[4,145776748657227	3,214352846	-0,1676633358001709]
5	-105	5,154148579	999	[	14	-13	-16,]	[4,145776748657227	3,214352846	-0,1676633358001709]
#############	EPISODIO	2#################								
Punto	Encontrado									
3	10,64612163	3,169021368	7,855636358	[	0	0	-10,]	[-4,046675321223159e-12	-0,016636088	-4,706005573272705]
2	12,94404776	11,99381638	5,294020566	[	0	0	-10,]	[-1,1662446008919858e-10	-0,187801927	-6,4920501708984375]
6	16,0791703	16,36315346	3,512973323	[	0	0	-10,]	[-2,448769242935356e-10	-0,248831853	-8,35152530670166]
7	45	13,24930668	1,667149095	[	0	0	-10,]	[-2,2577903990850245e-09	-0,416268498	-9,787097930908203]
Punto	Encontrado									
7	7,246061816	6,846494675	21,26118606	[	18	-8	-19,]	[0,5154779553413391	-1,017443895	-10,969451904296875]
4	7,329007392	15,8925972	20,46837325	[	18	-8	-19,]	[1,024592399597168	-1,313813329	-10,7285795211792]
7	7,377315879	18,46248627	20,03212301	[	18	-8	-19,]	[1,5284476280212402	-1,610264421	-10,324270248413086]
7	7,417478257	5,93042469	19,68270929	[	18	-8	-19,]	[2,0296192169189453	-1,905151725	-9,52436637878418]
3	7,433740208	16,5515976	19,54450998	[	18	-8	-19,]	[2,5334019660949707	-2,216518641	-8,46150016784668]
1	7,42849517	13,47494221	19,5888818	[	18	-8	-19,]	[3,033900260925293	-2,696296453	-7,549078464508057]
7	7,429963548	14,84111691	19,57644035	[	18	-8	-19,]	[3,536949634552002	-3,223668098	-6,71537446975708]
1	7,430965026	10,3479414	19,56796353	[	18	-8	-19,]	[4,032657146453857	-3,73900342	-5,80048942565918]
8	7,417297771	6,888016701	19,68425355	[	18	-8	-19,]	[4,528985500335693	-4,242882729	-4,971631050109863]
5	7,402856563	7,725436211	19,80856626	[	18	-8	-19,]	[5,025928020477295	-4,566514015	-3,901048183441162]
7	7,358342663	5,60908556	20,20132955	[	18	-8	-19,]	[5,5157647132873535	-4,680649281	-2,6935367584228516]
3	7,293236725	7,746376991	20,80324406	[	18	-8	-19,]	[6,012343883514404	-4,77500391	-1,2193936109542847]
8	7,20406549	8,690966606	21,68535133	[	18	-8	-19,]	[6,357371807098389	-4,945137978	-0,16734810173511505]
6	7,141267615	5,77559185	22,35065437	[	18	-8	-19,]	[6,357371807098389	-4,945137978	-0,16734810173511505]
1	-105	3,209193707	999	[	18	-8	-19,]	[6,357371807098389	-4,945137978	-0,17083701491355896]
#############	EPISODIO	3#################								
Punto	Encontrado									
0	9,606807121	8,12528801	9,853504106	[	0	0	-10,]	[-3,760023108839716e-12	-0,018508056	-2,851013660430908]
1	11,13571442	3,673801422	7,149010297	[	0	0	-10,]	[-2,1315818554690225e-10	-0,212805286	-5,0464348793029785]
5	13,39188903	7,57712841	4,958134074	[	0	0	-10,]	[-1,3836747303486163e-09	-0,433285654	-7,491161823272705]
6	19,10048114	6,476467133	2,54597829	[	0	0	-10,]	[-3,784248026050818e-09	-0,496111423	-9,784939765930176]
5	45	13,8263979	0,54071938	[	0	0	-10,]	[-9,596707428727314e-09	-0,677322984	-11,900754928588867]
Punto	Encontrado									
8	7,174964716	15,95514679	21,98887868	[20,	0	-4,]	[0,6375560760498047	-0,68812567	-12,526585578918457]	
7	7,255512587	6,64948225	21,16790999	[20,	0	-4,]	[1,2575982809066772	-0,491268218	-10,43517780303955]	
8	7,401251634	2,958017826	19,82247411	[20,	0	-4,]	[1,8704190254211426	-0,240589947	-7,871336460113525]	
1	7,558870459	13,69984722	18,53987152	[20,	0	-4,]	[2,4797580242156982	0,174304113	-5,174236297607422]	
2	7,693905626	15,11897087	17,56041263	[20,	0	-4,]	[3,0825209617614746	0,64416635	-2,86153507232666]	
8	7,782728834	7,492024422	16,96797424	[20,	0	-4,]	[3,697997570037842	1,303194761	-0,5849664807319641]	
1	7,823779227	1,680175304	16,70676671	[20,	0	-4,]	[3,796976327896118	1,430866718	-0,18245543539524078]	
8	7,823574267	3,649178982	16,70805202	[20,	0	-4,]	[3,796976327896118	1,435014606	-0,17353087663650513]	
7	7,823192101	11,61359215	16,7104491	[20,	0	-4,]	[3,796976327896118	1,435014606	-0,17353087663650513]	
8	-105	15,3020134	999	[20,	0	-4,]	[3,796976327896118	1,435014606	-0,17353087663650513]	
#############	EPISODIO	4#################								
Punto	Encontrado									
6	10,64612163	14,80075836	7,855636358	[	0	0	-10,]	[-1,1147927199417484e-12	-0,014453003	-4,551558494567871]
8	12,75378847	13,28916645	5,448460675	[	0	0	-10,]	[-5,401781452696319e-12	-0,181266874	-5,663425922393799]
1	14,36266318	8,356708527	4,340360862	[	0	0	-10,]	[1,0369550773603464e-09	-0,216654211	-6,683823108673096]
1	16,56538226	2,408275127	3,323246639	[	0	0	-10,]	[2,3956130412727816e-09	-0,208056912	-8,09160041809082]
7	45	10,15132904	1,919707437	[	0	0	-10,]	[2,651168173883889e-09	-0,205390707	-9,593398094177246]
Punto	Encontrado									
5	7,368390647	3,898257256	20,11138214	[18,	7	-5,]	[0,7165159583091736	0,104575954	-9,981237411499023]	
4	7,467503491	8,968863487	19,26339585	[18,	7	-5,]	[1,4177972078323364	0,572740614	-9,424101829528809]	
3	7,587153496	7,354170322	18,32625957	[18,	7	-5,]	[2,107564687728882	1,060552835	-8,862737655639648]	
5	7,717360431	12,75190926	17,40020905	[18,	7	-5,]	[2,814467430114746	1,398761392	-8,287046432495117]	
7	7,854529586	6,733571053	16,51602094	[18,	7	-5,]	[3,4996845722198486	1,852854133	-7,578350067138672]	
6	8,011814738	4,768816471	15,60128671	[18,	7	-5,]	[4,179447650909424	2,333497286	-6,481467247009277]	
5	8,192409606	3,420616388	14,66215059	[18,	7	-5,]	[4,802753448486328	2,642278671	-5,247066974639893]	
5	8,35563913	3,763946056	13,90029114	[18,	7	-5,]	[5,4830121994018555	3,127761602	-3,901221513748169]	
5	8,534005498	7,189142227	13,1482519	[18,	7	-5,]	[6,075128078460693	3,740451574	-2,725586175918579]	
