Time;Hilo;Episodio;Step;Values;log_prob;Rewards;Remaining_Length;Point;Position;Action
1615632610,7734709;w0;2;1;6,011708034454821;-1,5971579474326685;7,55;32,45;[ 30,  15, -20,];[ 4,26  2,13 -5,01];1
1615632610,8534265;w0;2;2;6,135070372565706;-1,7015002061665436;7,83;32,17;[ 30,  15, -20,];[ 4,49  2,24 -5,11];0
1615632610,9313817;w0;2;3;6,239714026837554;-1,6328217547950736;8,1;31,9;[ 30,  15, -20,];[ 4,72  2,36 -5,2 ];2
1615632611,0073373;w0;2;4;6,32434175883465;-1,5828915369812342;8,34;31,66;[ 30,  15, -20,];[ 4,94  2,47 -5,26];4
1615632611,0842924;w0;2;5;6,389317121791929;-1,6330954852900155;8,57;31,43;[ 30,  15, -20,];[ 5,14  2,57 -5,32];2
1615632611,1572547;w0;2;6;6,421859185879661;-1,6332122797116413;8,78;31,22;[ 30,  15, -20,];[ 5,32  2,66 -5,38];2
1615632611,2381475;w0;2;7;6,472786878787404;-1,597472758501021;8,97;31,03;[ 30,  15, -20,];[ 5,49  2,75 -5,44];1
1615632611,3111064;w0;2;8;6,4923913929100525;-1,538614118580711;9,15;30,85;[ 30,  15, -20,];[ 5,65  2,82 -5,5 ];3
1615632611,3910625;w0;2;9;6,515508177673821;-1,538707960360356;9,31;30,69;[ 30,  15, -20,];[ 5,78  2,89 -5,57];3
1615632611,466799;w0;2;10;6,540334470833597;-1,7016885965348125;9,46;30,54;[ 30,  15, -20,];[ 5,9   2,95 -5,63];0
1615632611,537756;w0;2;11;6,553532718961781;-1,6330608944171408;9,56;30,44;[ 30,  15, -20,];[ 5,99  2,99 -5,65];2
1615632611,6117184;w0;2;12;6,560504374074204;-1,5968610994522412;9,67;30,33;[ 30,  15, -20,];[ 6,1   3,04 -5,66];1
1615632611,6926699;w0;2;13;6,562785428222114;-1,5836344171431889;9,77;30,23;[ 30,  15, -20,];[ 6,2   3,09 -5,65];4
1615632611,7746215;w0;2;14;6,567111060445142;-1,701709247817284;9,85;30,15;[ 30,  15, -20,];[ 6,28  3,13 -5,67];0
1615632611,8505762;w0;2;15;6,555004131109249;-1,7013400666442697;9,93;30,07;[ 30,  15, -20,];[ 6,35  3,17 -5,68];0
1615632611,9315305;w0;2;16;6,5466338860074655;-1,596363119383176;9,99;30,01;[ 30,  15, -20,];[ 6,43  3,21 -5,66];1
1615632612,007487;w0;2;17;6,552134264731271;-1,701169084339848;10,04;29,96;[ 30,  15, -20,];[ 6,49  3,24 -5,62];0
1615632612,0944364;w0;2;18;6,557512173078865;-1,633848519991067;10,09;29,91;[ 30,  15, -20,];[ 6,55  3,27 -5,6 ];2
1615632612,170401;w0;2;19;6,538191929996373;-1,7007201633802347;10,12;29,88;[ 30,  15, -20,];[ 6,6   3,3  -5,57];0
1615632612,247913;w0;2;20;6,521043617413357;-1,5969447058816508;10,15;29,85;[ 30,  15, -20,];[ 6,65  3,32 -5,54];1
1615632612,3328633;w0;2;21;6,5099522686322056;-1,7009160226093694;10,18;29,82;[ 30,  15, -20,];[ 6,69  3,34 -5,51];0
1615632612,4098184;w0;2;22;6,491100816629815;-1,5397497773987734;10,21;29,79;[ 30,  15, -20,];[ 6,72  3,36 -5,5 ];3
1615632612,4797792;w0;2;23;6,479334752558115;-1,6340579525626504;10,22;29,78;[ 30,  15, -20,];[ 6,76  3,38 -5,46];2
1615632612,5417528;w0;2;24;6,470957872357383;-1,5397730513273347;10,23;29,77;[ 30,  15, -20,];[ 6,78  3,39 -5,44];3
1615632612,6225786;w0;2;25;6,468416982998553;-1,539716894774491;10,25;29,75;[ 30,  15, -20,];[ 6,8   3,4  -5,43];3
1615632612,6985357;w0;2;26;6,461320748797827;-1,6342420291620714;10,27;29,73;[ 30,  15, -20,];[ 6,83  3,41 -5,43];2
1615632612,7744124;w0;2;27;6,462104238521232;-1,5960863994696388;10,29;29,71;[ 30,  15, -20,];[ 6,85  3,42 -5,43];1
1615632612,8583624;w0;2;28;6,472350705613307;-1,7017627690663646;10,31;29,69;[ 30,  15, -20,];[ 6,86  3,43 -5,44];0
1615632612,9363258;w0;2;29;6,494366728048088;-1,5393605893898887;10,34;29,66;[ 30,  15, -20,];[ 6,87  3,44 -5,47];3
1615632613,006285;w0;2;30;6,5031327324649295;-1,5825153038026063;10,36;29,64;[ 30,  15, -20,];[ 6,89  3,44 -5,47];4
1615632613,0662506;w0;2;31;6,5068964065431;-1,7019304678194207;10,36;29,64;[ 30,  15, -20,];[ 6,9   3,45 -5,47];0
1615632613,1334314;w0;2;32;6,507261335107592;-1,7019780904636912;10,36;29,64;[ 30,  15, -20,];[ 6,9   3,45 -5,46];0
1615632613,2143848;w0;2;33;6,506248822430579;-1,7021761740873729;10,36;29,64;[ 30,  15, -20,];[ 6,91  3,46 -5,42];0
1615632613,2883425;w0;2;34;6,505902202684417;-1,581996692436971;10,34;29,66;[ 30,  15, -20,];[ 6,92  3,46 -5,37];4
1615632613,3623095;w0;2;35;6,492342029941183;-1,582016748717674;10,32;29,68;[ 30,  15, -20,];[ 6,93  3,46 -5,31];4
1615632613,4372625;w0;2;36;6,492607019839268;-1,5955411175007914;10,3;29,7;[ 30,  15, -20,];[ 6,93  3,47 -5,27];1
1615632613,5172179;w0;2;37;6,495517238940991;-1,581850477971726;10,3;29,7;[ 30,  15, -20,];[ 6,94  3,47 -5,27];4
1615632613,5951772;w0;2;38;6,510997507130526;-1,5396647163767927;10,32;29,68;[ 30,  15, -20,];[ 6,94  3,47 -5,29];3
1615632613,6691341;w0;2;39;6,51796973936461;-1,5813839370692793;10,35;29,65;[ 30,  15, -20,];[ 6,95  3,47 -5,34];4
1615632613,7400925;w0;2;40;6,531441733183329;-1,596136994936137;10,37;29,63;[ 30,  15, -20,];[ 6,95  3,48 -5,38];1
1615632613,8080533;w0;2;41;6,535594672428454;-1,539565788610876;10,4;29,6;[ 30,  15, -20,];[ 6,95  3,48 -5,42];3
1615632613,8787794;w0;2;42;6,5441239081468865;-1,596124783675029;10,42;29,58;[ 30,  15, -20,];[ 6,96  3,48 -5,47];1
1615632613,9447432;w0;2;43;6,553236302279937;-1,5962807397116185;10,44;29,56;[ 30,  15, -20,];[ 6,96  3,48 -5,51];1
1615632614,0216966;w0;2;44;6,562138727740069;-1,6342586057692179;10,47;29,53;[ 30,  15, -20,];[ 6,96  3,48 -5,55];2
1615632614,0926564;w0;2;45;6,56690015147491;-1,5818048417555997;10,49;29,51;[ 30,  15, -20,];[ 6,96  3,48 -5,6 ];4
1615632614,1626203;w0;2;46;6,575870195265998;-1,702519858235369;10,51;29,49;[ 30,  15, -20,];[ 6,96  3,48 -5,64];0
1615632614,2525682;w0;2;47;6,589933900145898;-1,633894629937391;10,54;29,46;[ 30,  15, -20,];[ 6,97  3,48 -5,69];2
1615632614,3375213;w0;2;48;6,590711163675313;-1,596316649542754;10,55;29,45;[ 30,  15, -20,];[ 6,97  3,48 -5,7 ];1
1615632614,4094796;w0;2;49;6,591955897084527;-1,6337745667054688;10,55;29,45;[ 30,  15, -20,];[ 6,97  3,49 -5,7 ];2
1615632614,482438;w0;2;50;6,586983680134811;-1,596383463028573;10,56;29,44;[ 30,  15, -20,];[ 6,97  3,49 -5,73];1
1615632614,5783823;w0;2;51;6,5923258719372795;-1,5964456642557867;10,59;29,41;[ 30,  15, -20,];[ 6,97  3,49 -5,78];1
1615632614,6683319;w0;2;52;6,604241162467882;-1,6333873350517292;10,61;29,39;[ 30,  15, -20,];[ 6,97  3,49 -5,83];2
1615632614,7562823;w0;2;53;6,613380389011654;-1,633319067052224;10,64;29,36;[ 30,  15, -20,];[ 6,97  3,49 -5,89];2
1615632614,8432372;w0;2;54;6,6138503113795135;-1,7017534642989445;10,67;29,33;[ 30,  15, -20,];[ 6,97  3,49 -5,94];0
1615632614,934188;w0;2;55;6,622130638427463;-1,5401236986573297;10,69;29,31;[ 30,  15, -20,];[ 6,97  3,49 -5,99];3
1615632615,024129;w0;2;56;6,626359572377816;-1,59658421726414;10,7;29,3;[ 30,  15, -20,];[ 6,98  3,49 -6,  ];1
1615632615,1140769;w0;2;57;6,6257626925469575;-1,596582253081558;10,7;29,3;[ 30,  15, -20,];[ 6,98  3,49 -6,  ];1
1615632615,206024;w0;2;58;6,627831438148946;-1,5403058312240723;10,72;29,28;[ 30,  15, -20,];[ 6,98  3,49 -6,04];3
1615632615,2989712;w0;2;59;6,635090928194558;-1,596577698963251;10,74;29,26;[ 30,  15, -20,];[ 6,98  3,49 -6,1 ];1
1615632615,3879216;w0;2;60;6,641846483921545;-1,7008828040803163;10,77;29,23;[ 30,  15, -20,];[ 6,98  3,49 -6,15];0
