Time;Hilo;Episodio;Step;Values;log_prob;Rewards;Remaining_Length;Point;Position;Action;Colision
1619339764.5964963;w0;0;1-> 0;4.466099610270008;-1.783101092952118;0.56;78.88;[ 50.  50. -40.];[ 0.79  0.79 -2.86];5;False
1619339764.8595157;w0;0;2-> 0.24099040031433105;2.893039103663799;-1.7806622634896125;0.9;78.21;[ 50.  50. -40.];[ 1.18  1.17 -3.28];3;False
1619339767.0435026;w0;0;3-> 0.5030107498168945;2.2343919491246793;-1.7838207453956643;2.84;74.31;[ 50.  50. -40.];[ 5.1  -0.17 -8.56];3;False
1619339767.2564871;w0;0;4-> 2.687997817993164;2.009583949518139;-1.7862363927422718;2.9;74.19;[ 50.  50. -40.];[ 5.42 -0.52 -8.95];3;False
1619339769.471617;w0;0;5-> 2.899982213973999;1.331411049923573;-1.8471562896410543;1.15;77.71;[ 50.  50. -40.];[  9.33 -11.51 -15.48];4;False
1619339769.6496239;w0;0;6-> 5.116111993789673;1.2763898995057055;-1.6972201698742133;0.9;78.21;[ 50.  50. -40.];[  9.63 -12.51 -15.94];2;False
1619339769.839595;w2;0;1-> 0;3.8961407634560756;-1.8707300905109376;9.54;60.92;[ 50.  50. -40.];[ 12.02  12.02 -11.26];0;False
1619339769.9295876;w2;0;2-> 5.095081090927124;2.897068052976027;-1.7468052585033176;9.66;60.69;[ 50.  50. -40.];[ 12.16  12.16 -11.37];1;False
1619339769.8545852;w0;0;7-> 5.294118642807007;1.232738545501002;-1.7669562425402228;0.68;78.64;[ 50.  50. -40.];[  9.99 -13.48 -16.44];5;False
1619339770.018613;w2;0;3-> 5.184075593948364;2.072271095461674;-1.7016971362005087;9.78;60.44;[ 50.  50. -40.];[ 12.32  12.32 -11.48];2;False
1619339770.1175566;w2;0;4-> 5.273101568222046;1.6264558244229979;-1.898132265371037;9.95;60.11;[ 50.  50. -40.];[ 12.53  12.52 -11.64];0;False
1619339770.2275743;w2;0;5-> 5.372046232223511;1.4473465185007903;-1.8966547502094706;10.11;59.78;[ 50.  50. -40.];[ 12.72  12.73 -11.8 ];0;False
1619339770.1095622;w0;0;8-> 5.499080181121826;1.2425833034177935;-1.8691308023655078;0.47;79.06;[ 50.  50. -40.];[ 10.47 -14.53 -17.1 ];0;False
1619339770.3215613;w2;0;6-> 5.4810631275177;1.3803770831911333;-1.755276582112699;10.27;59.47;[ 50.  50. -40.];[ 12.92  12.94 -11.93];1;False
1619339770.4364946;w2;0;7-> 5.576048851013184;1.3662521375887975;-1.7884943225147742;10.4;59.2;[ 50.  50. -40.];[ 13.1   13.13 -12.02];3;False
1619339770.5404348;w2;0;8-> 5.689983367919922;1.3630535519497036;-1.7897545946428253;10.54;58.92;[ 50.  50. -40.];[ 13.27  13.32 -12.12];3;False
1619339770.374531;w0;0;9-> 5.754056930541992;1.2800413741366445;-1.8659137644556743;0.23;79.53;[ 50.  50. -40.];[ 11.   -15.64 -17.73];0;False
1619339770.618392;w2;0;9-> 5.793923616409302;1.3924844526159297;-1.691509071560963;10.68;58.65;[ 50.  50. -40.];[ 13.45  13.51 -12.21];2;False
1619339770.702343;w2;0;10-> 5.872880697250366;1.4364286518828504;-1.7574666742899998;10.77;58.45;[ 50.  50. -40.];[ 13.57  13.63 -12.3 ];1;False
1619339770.8052845;w2;0;11-> 5.956831455230713;1.4733974355832546;-1.7927604037308627;10.88;58.23;[ 50.  50. -40.];[ 13.72  13.77 -12.39];3;False
1619339770.9102244;w2;0;12-> 6.0587732791900635;1.5037485762492873;-1.7938215964720916;10.99;58.02;[ 50.  50. -40.];[ 13.86  13.89 -12.49];3;False
1619339771.0441473;w2;0;13-> 6.16471266746521;1.5395650321540633;-1.79438694118766;11.14;57.71;[ 50.  50. -40.];[ 14.06  14.06 -12.66];3;False
1619339771.1551201;w2;0;14-> 6.297636032104492;1.5961065435166328;-1.795026929756196;11.2;57.6;[ 50.  50. -40.];[ 14.14  14.12 -12.73];3;False
1619339771.2751498;w2;0;15-> 6.409608840942383;1.6295599452873886;-1.758849345051381;11.35;57.3;[ 50.  50. -40.];[ 14.33  14.24 -12.93];1;False
1619339771.3881662;w2;0;16-> 6.5296385288238525;1.6659070306840307;-1.7885406028915383;11.43;57.14;[ 50.  50. -40.];[ 14.44  14.29 -13.06];5;False
1619339771.4707065;w2;0;17-> 6.642654895782471;1.713350581445364;-1.8865168047065168;11.5;57.0;[ 50.  50. -40.];[ 14.54  14.34 -13.17];0;False
1619339771.5322022;w2;0;18-> 6.724722623825073;1.7515084329049113;-1.7594713577327843;11.61;56.79;[ 50.  50. -40.];[ 14.69  14.4  -13.35];1;False
1619339771.6352444;w2;0;19-> 6.786689281463623;1.77813341949608;-1.7887640581919804;11.74;56.51;[ 50.  50. -40.];[ 14.89  14.47 -13.57];5;False
1619339771.7372713;w2;0;20-> 6.889732837677002;1.8144687800150583;-1.7600786950298135;11.88;56.25;[ 50.  50. -40.];[ 15.09  14.53 -13.8 ];1;False
1619339771.8873112;w2;0;21-> 6.990760087966919;1.8611447589592847;-1.882954988248438;12.1;55.81;[ 50.  50. -40.];[ 15.4   14.62 -14.21];0;False
1619339772.0333526;w2;0;22-> 7.141800165176392;1.9264425649280053;-1.6909293857911765;12.3;55.39;[ 50.  50. -40.];[ 15.68  14.7  -14.61];2;False
1619339772.1403182;w2;0;23-> 7.2878406047821045;1.9824920901942058;-1.8396322680971597;12.43;55.13;[ 50.  50. -40.];[ 15.88  14.75 -14.85];4;False
1619339772.268343;w2;0;24-> 7.394327878952026;2.04236087336995;-1.8394122465663834;12.61;54.78;[ 50.  50. -40.];[ 16.14  14.84 -15.15];4;False
1619339772.3943536;w2;0;25-> 7.522831678390503;2.0891226958974585;-1.7624865049739307;12.78;54.43;[ 50.  50. -40.];[ 16.39  14.92 -15.45];1;False
1619339772.5133338;w2;0;26-> 7.6478424072265625;2.137692628129834;-1.8392350604417949;12.94;54.11;[ 50.  50. -40.];[ 16.63  15.   -15.72];4;False
1619339772.62131;w2;0;27-> 7.767821788787842;2.166384650667653;-1.8392004228822274;13.13;53.74;[ 50.  50. -40.];[ 16.92  15.09 -16.03];4;False
1619339772.742318;w2;0;28-> 7.87579870223999;2.216638779129326;-1.8770872201517332;13.33;53.33;[ 50.  50. -40.];[ 17.24  15.18 -16.36];0;False
1619339772.8522556;w2;0;29-> 7.996805667877197;2.245750541722649;-1.6933567978655584;13.53;52.93;[ 50.  50. -40.];[ 17.57  15.27 -16.68];2;False
1619339772.9951725;w2;0;30-> 8.106743335723877;2.2825462088689408;-1.8386092280989614;13.8;52.4;[ 50.  50. -40.];[ 18.03  15.4  -17.06];4;False
1619339773.1351597;w2;0;31-> 8.248661279678345;2.312278504180991;-1.6946330980635722;14.0;51.99;[ 50.  50. -40.];[ 18.38  15.51 -17.34];2;False
1619339773.2671523;w2;0;32-> 8.389647006988525;2.3199101318839697;-1.838278007489848;14.21;51.57;[ 50.  50. -40.];[ 18.73  15.63 -17.62];4;False
1619339773.3721495;w2;0;33-> 8.521640300750732;2.3575001279293564;-1.6955884479748033;14.44;51.11;[ 50.  50. -40.];[ 19.12  15.77 -17.92];2;False
1619339773.5201423;w2;0;34-> 8.625638246536255;2.3414225364136536;-1.8379622839197725;14.67;50.65;[ 50.  50. -40.];[ 19.5   15.93 -18.21];4;False
1619339773.658127;w2;0;35-> 8.774630308151245;2.372788114401831;-1.8376273553021996;15.02;49.97;[ 50.  50. -40.];[ 20.07  16.18 -18.62];4;False
1619339773.7680643;w2;0;36-> 8.912614583969116;2.383576759884421;-1.697477897235815;15.31;49.38;[ 50.  50. -40.];[ 20.55  16.41 -18.97];2;False
1619339773.9130785;w2;0;37-> 9.022552490234375;2.3763977964991643;-1.6981547074307979;15.72;48.57;[ 50.  50. -40.];[ 21.23  16.71 -19.43];2;False
1619339774.0240417;w2;0;38-> 9.167566537857056;2.370186926212062;-1.8664172632871494;16.0;48.01;[ 50.  50. -40.];[ 21.69  16.93 -19.74];0;False
1619339774.1400094;w2;0;39-> 9.278529644012451;2.358795805277;-1.6990529399507794;16.29;47.41;[ 50.  50. -40.];[ 22.18  17.18 -20.07];2;False
1619339774.2749338;w2;0;40-> 9.394498348236084;2.3223148286272335;-1.8012434567655924;16.69;46.61;[ 50.  50. -40.];[ 22.85  17.54 -20.45];3;False
1619339774.3878675;w2;0;41-> 9.52942180633545;2.315377513542809;-1.7768825013907026;16.96;46.07;[ 50.  50. -40.];[ 23.29  17.8  -20.7 ];1;False
1619339774.529832;w2;0;42-> 9.642356395721436;2.2897155976111363;-1.801463732543458;17.27;45.46;[ 50.  50. -40.];[ 23.8   18.1  -20.97];3;False
1619339774.6277747;w2;0;43-> 9.784319639205933;2.281564686147113;-1.7012182197285917;17.54;44.92;[ 50.  50. -40.];[ 24.24  18.37 -21.21];2;False
1619339774.7207217;w2;0;44-> 9.882263898849487;2.2643615733344733;-1.7796651924727167;17.75;44.5;[ 50.  50. -40.];[ 24.57  18.57 -21.41];5;False
1619339774.8456872;w2;0;45-> 9.975210428237915;2.236078141955508;-1.859243949251538;18.1;43.81;[ 50.  50. -40.];[ 25.14  18.9  -21.72];0;False
1619339774.9586222;w2;0;46-> 10.100175857543945;2.2117924719332454;-1.8344539750255997;18.43;43.14;[ 50.  50. -40.];[ 25.7   19.22 -22.02];4;False
1619339775.0626035;w2;0;47-> 10.213113069534302;2.2017656303070727;-1.8018066646875035;18.7;42.61;[ 50.  50. -40.];[ 26.15  19.49 -22.24];3;False
1619339775.1915298;w2;0;48-> 10.317091941833496;2.1678494718696655;-1.8554993935879451;19.02;41.95;[ 50.  50. -40.];[ 26.71  19.81 -22.51];0;False
