Index,Episode,Action,Reward,Remaining length,Loss,NN Output,Punto objetivo,Posición actual
1,5460,0,20.58,19.42,0,"[97.26532  0.      79.87715  0.       0.      92.58686  0.       0.
  0.     ]",[16. 11. -2.],[ 7.86  5.4  -1.62]
2,5460,2,30.11,9.89,0,"[ 0.       85.096794 86.74852   0.        0.        0.        0.
  0.        0.      ]",[16. 11. -2.],[ 8.14  5.59 -1.64]
3,5460,0,30.45,9.55,0,"[104.62658   85.345856  87.01452    0.         0.       100.96218
  98.47542   97.35257   82.1718  ]",[16. 11. -2.],[ 8.41  5.78 -1.67]
4,5460,0,30.79,9.21,0,"[104.90063   0.       87.28909   0.        0.        0.        0.
   0.        0.     ]",[16. 11. -2.],[ 8.69  5.97 -1.71]
5,5460,6,31.12,8.88,0,"[ 0.       0.       0.       0.       0.       0.      99.1936  97.96542
 82.75692]",[16. 11. -2.],[ 9.    6.18 -1.75]
6,5460,0,31.5,8.5,0,"[105.49407  86.15918  87.88805   0.        0.        0.        0.
   0.        0.     ]",[16. 11. -2.],[ 9.29  6.38 -1.78]
7,5460,0,31.85,8.15,0,"[105.77137    0.        88.164604   0.         0.         0.
  99.9536     0.         0.      ]",[16. 11. -2.],[ 9.57  6.56 -1.83]
8,5460,0,32.19,7.81,0,"[106.068375   0.        88.46808    0.         0.       102.64181
   0.        98.94696   83.69582 ]",[16. 11. -2.],[ 9.84  6.74 -1.88]
9,5460,0,32.51,7.49,0,"[106.34605  86.96154  88.75184   0.        0.      102.96801   0.
  99.2564   83.99394]",[16. 11. -2.],[10.11  6.92 -1.94]
10,5460,0,32.83,7.17,0,"[106.648544   0.        89.06624    0.         0.       103.3271
   0.        99.597046   0.      ]",[16. 11. -2.],[10.38  7.09 -2.01]
11,5460,6,33.16,6.84,0,"[  0.         0.        89.38597    0.         0.         0.
 101.53211    0.        84.661705]",[16. 11. -2.],[10.66  7.27 -2.09]
12,5460,6,33.49,6.51,0,"[  0.        87.853195  89.72164    0.         0.         0.
 101.96722    0.         0.      ]",[16. 11. -2.],[10.93  7.43 -2.13]
13,5460,0,33.8,6.2,0,"[107.5533     0.         0.         0.         0.         0.
 102.33334  100.614944   0.      ]",[16. 11. -2.],[11.21  7.61 -2.2 ]
14,5460,0,34.13,5.87,0,"[107.859764   0.        90.322845   0.         0.       104.76357
 102.74217    0.        85.64816 ]",[16. 11. -2.],[11.48  7.77 -2.27]
15,5460,0,34.44,5.56,0,"[108.16617  88.70308  90.64287   0.        0.        0.      103.15611
   0.        0.     ]",[16. 11. -2.],[11.75  7.94 -2.35]
16,5460,5,34.75,5.25,0,"[  0.        89.00651    0.         0.         0.       105.504776
   0.       101.66052    0.      ]",[16. 11. -2.],[12.02  8.1  -2.43]
17,5460,5,35.06,4.94,0,"[  0.        89.313866   0.         0.         0.       105.88592
   0.       102.0214    86.68918 ]",[16. 11. -2.],[12.28  8.25 -2.51]
18,5460,0,35.35,4.65,0,"[109.10057  89.60539  91.6273    0.        0.      106.24745   0.
   0.        0.     ]",[16. 11. -2.],[12.55  8.41 -2.6 ]
19,5460,6,35.65,4.35,0,"[  0.         0.         0.         0.         0.         0.
 104.875015 102.730354  87.385445]",[16. 11. -2.],[12.81  8.57 -2.68]
20,5460,0,35.93,4.07,0,"[109.73254  90.21837  92.29772   0.        0.        0.        0.
 103.08343   0.     ]",[16. 11. -2.],[13.08  8.73 -2.76]
21,5460,0,36.22,3.78,0,"[110.04642   0.       92.62863   0.        0.        0.      105.73052
   0.        0.     ]",[16. 11. -2.],[13.34  8.88 -2.86]
22,5460,0,36.49,3.51,0,"[110.43289  90.90734   0.        0.        0.        0.        0.
   0.        0.     ]",[16. 11. -2.],[13.61  9.03 -2.97]
23,5460,0,36.75,3.25,0,"[110.84599    0.        93.418      0.         0.       108.26995
   0.         0.        88.943665]",[16. 11. -2.],[13.86  9.18 -3.09]
24,5460,5,36.99,3.01,0,"[  0.       91.73965   0.        0.        0.      108.73267   0.
   0.       89.39623]",[16. 11. -2.],[14.13  9.33 -3.21]
25,5460,5,37.22,2.78,0,"[  0.        92.17007    0.         0.         0.       109.20854
 107.438866   0.        89.8615  ]",[16. 11. -2.],[14.38  9.47 -3.32]
26,5460,5,37.41,2.59,0,"[  0.        0.        0.        0.        0.      109.65358   0.
   0.       90.2967 ]",[16. 11. -2.],[14.62  9.61 -3.43]
27,5460,5,37.57,2.43,0,"[  0.         0.         0.         0.         0.       110.08223
   0.         0.        90.715904]",[16. 11. -2.],[14.87  9.75 -3.55]
28,5460,6,37.71,2.29,0,"[  0.        93.36267   95.43713    0.         0.         0.
 108.676384 106.17131    0.      ]",[16. 11. -2.],[15.12  9.89 -3.66]
29,5460,5,37.82,2.18,0,"[  0.        93.772316   0.         0.         0.       110.97993
   0.         0.        91.593544]",[16. 11. -2.],[15.38 10.04 -3.77]
30,5460,2,37.89,2.11,0,"[ 0.       0.      96.23635  0.       0.       0.       0.       0.
 92.02558]",[16. 11. -2.],[15.64 10.19 -3.89]
31,5460,1,37.91,2.09,0,"[ 0.       94.588104  0.        0.        0.        0.        0.
  0.       92.47086 ]",[16. 11. -2.],[15.9  10.34 -4.02]
32,5460,0,37.87,2.13,0,"[114.30671    0.        96.80626    0.         0.         0.
   0.       107.488464  92.64488 ]",[16. 11. -2.],[16.15 10.49 -4.16]
33,5460,5,37.78,2.22,0,"[  0.       94.98024   0.        0.        0.      112.24773 110.12206
 107.6334   92.81772]",[16. 11. -2.],[16.41 10.64 -4.3 ]
34,5460,2,37.64,2.36,0,"[ 0.       95.17529  97.129074  0.        0.        0.        0.
  0.       92.98992 ]",[16. 11. -2.],[16.66 10.79 -4.45]
35,5460,5,37.46,2.54,0,"[  0.         0.        97.28975    0.         0.       112.612656
 110.309906   0.         0.      ]",[16. 11. -2.],[16.92 10.94 -4.61]
36,5460,0,37.23,2.77,0,"[115.16112   95.57009   97.455246   0.         0.         0.
 110.40547    0.        93.33785 ]",[16. 11. -2.],[17.17 11.1  -4.76]
37,5460,0,37.0,3.0,0,"[115.371666   0.        97.615326   0.         0.         0.
   0.         0.        93.508575]",[16. 11. -2.],[17.43 11.25 -4.93]
38,5460,5,36.73,3.27,0,"[  0.        0.       97.77402   0.        0.      113.15762   0.
   0.       93.67718]",[16. 11. -2.],[17.68 11.4  -5.1 ]
39,5460,5,36.45,3.55,0,"[  0.        0.        0.        0.        0.      113.33508   0.
   0.        0.     ]",[16. 11. -2.],[17.93 11.55 -5.27]
40,5460,0,36.16,3.84,0,"[115.54986   95.934135  97.71393    0.         0.       113.15224
 110.466805 108.2697    93.60929 ]",[16. 11. -2.],[18.18 11.7  -5.45]
41,5460,7,35.86,4.14,0,"[  0.       95.66842  97.44719   0.        0.        0.        0.
 108.00209   0.     ]",[16. 11. -2.],[18.43 11.84 -5.63]
42,5460,6,35.56,4.44,0,"[  0.        95.413826  97.1915     0.         0.         0.
 109.97488    0.        93.04463 ]",[16. 11. -2.],[18.67 11.99 -5.78]
43,5460,0,35.27,4.73,0,"[114.681526   0.        96.93002    0.         0.       112.4784
   0.         0.         0.      ]",[16. 11. -2.],[18.91 12.13 -5.95]
44,5460,0,34.97,5.03,0,"[114.39622   94.89632   96.67239    0.         0.         0.
 109.48892    0.        92.484375]",[16. 11. -2.],[19.17 12.28 -6.14]
45,5460,0,34.63,5.37,0,"[114.09196    0.        96.388824   0.         0.         0.
 109.22097    0.        92.18206 ]",[16. 11. -2.],[19.42 12.43 -6.33]
46,5460,5,34.3,5.7,0,"[  0.        0.        0.        0.        0.      111.73682 108.88566
 106.59731   0.     ]",[16. 11. -2.],[19.66 12.57 -6.52]
47,5460,0,33.97,6.03,0,"[113.469345  93.940575   0.         0.         0.         0.
   0.       106.26749    0.      ]",[16. 11. -2.],[19.9  12.7  -6.72]
48,5460,0,33.65,6.35,0,"[113.166504   0.         0.         0.         0.       111.203896
 108.24492  105.93888    0.      ]",[16. 11. -2.],[20.15 12.85 -6.93]
49,5460,2,33.3,6.7,0,"[ 0.       0.      95.02439  0.       0.       0.       0.       0.
 90.8285 ]",[16. 11. -2.],[20.39 12.99 -7.15]
50,5460,6,32.94,7.06,0,"[  0.         0.         0.         0.         0.         0.
 107.595245   0.        90.49485 ]",[16. 11. -2.],[20.63 13.12 -7.37]
51,5460,0,32.59,7.41,0,"[112.26859    0.        94.36677    0.         0.         0.
   0.         0.        90.175224]",[16. 11. -2.],[20.89 13.26 -7.6 ]
52,5460,0,32.23,7.77,0,"[111.95513   92.299644  94.01891    0.         0.       110.13338
   0.         0.        89.82975 ]",[16. 11. -2.],[21.13 13.4  -7.83]
53,5460,0,31.88,8.12,0,"[111.67278    0.         0.         0.         0.         0.
 106.645454 104.30303   89.517166]",[16. 11. -2.],[21.37 13.53 -8.06]
54,5460,0,31.52,8.48,0,"[111.39298   0.        0.        0.        0.        0.      106.34246
 103.99437   0.     ]",[16. 11. -2.],[21.59 13.65 -8.29]
55,5460,0,31.18,8.82,0,"[111.14039  91.41572   0.        0.        0.      109.40753 106.0662
 103.71387   0.     ]",[16. 11. -2.],[21.84 13.78 -8.57]
56,5460,0,30.78,9.22,0,"[110.85365   0.       92.79074   0.        0.      109.1505  105.75109
 103.39447  88.60717]",[16. 11. -2.],[22.07 13.9  -8.83]
57,5460,0,30.41,9.59,0,"[110.60216   0.       92.50926   0.        0.        0.      105.47224
   0.       88.32633]",[16. 11. -2.],[22.31 14.02 -9.11]
58,5460,0,30.03,9.97,0,"[110.346016  90.55307   92.22226    0.         0.         0.
 105.18664    0.        88.039764]",[16. 11. -2.],[22.55 14.15 -9.41]
59,5460,2,29.62,10.38,0,"[ 0.       90.272095 91.93201   0.        0.        0.        0.
  0.       87.74962 ]",[16. 11. -2.],[22.79 14.27 -9.71]
60,5460,0,29.22,10.78,0,"[109.84255   90.00587    0.         0.         0.       108.235466
   0.         0.         0.      ]",[16. 11. -2.],[ 23.02  14.38 -10.01]
61,5460,0,28.82,11.18,0,"[109.602745  89.745     91.3866     0.         0.       108.01628
   0.         0.        87.2037  ]",[16. 11. -2.],[ 23.26  14.5  -10.33]
62,5460,0,28.41,11.59,0,"[109.36737   89.4888    91.121      0.         0.       107.80027
 104.07403  101.709946  86.93754 ]",[16. 11. -2.],[ 23.48  14.61 -10.64]
63,5460,6,28.02,11.98,0,"[  0.        0.       90.8793    0.        0.        0.      103.82611
 101.46313   0.     ]",[16. 11. -2.],[ 23.71  14.72 -10.96]
64,5460,5,27.61,12.39,54.78,"[  0.        89.006165  90.619965   0.         0.       107.3918
 103.560104   0.         0.      ]",[16. 11. -2.],[ 23.93  14.82 -11.26]
65,5460,0,27.23,12.77,42.85,"[96.86675  82.221375 79.32594   0.        0.       95.75561  92.212296
 94.41625  80.1305  ]",[16. 11. -2.],[ 28.37  17.14 -17.62]
66,5460,2,19.15,20.85,45.02,"[ 0.       0.      73.77301  0.       0.       0.       0.       0.
 70.7389 ]",[16. 11. -2.],[ 32.08  18.91 -22.97]
67,5460,0,12.42,27.58,45.0,"[68.8613    0.        0.        0.        0.        0.       65.46004
 68.682335  0.      ]",[16. 11. -2.],[ 35.8   20.84 -28.7 ]
68,5460,6,5.34,34.66,41.29,"[ 0.       52.291954  0.        0.        0.        0.       53.9052
  0.       47.591423]",[16. 11. -2.],[ 39.47  22.58 -34.41]
69,5460,2,-1.66,41.66,43.3,"[ 0.       53.73894  62.52307   0.        0.       59.6172   58.91418
 52.081768 49.014126]",[16. 11. -2.],[ 43.14  24.17 -39.81]
70,5461,2,17.21,22.79,42.87,"[ 0.        0.       54.74902   0.        0.        0.       46.034203
  0.       43.267   ]",[  0.  19. -12.],[ 0.01  2.91 -1.94]
71,5461,5,21.02,18.98,43.87,"[61.15061   0.        0.        0.        0.       61.48579   0.
 54.003475 47.83424 ]",[  0.  19. -12.],[ 0.01  7.38 -4.91]
72,5461,5,26.39,13.61,37.84,"[65.325874 64.689384  0.        0.        0.       65.773315 57.46022
 60.67638  53.97791 ]",[  0.  19. -12.],[ 0.02 11.81 -7.41]
73,5461,0,31.47,8.53,35.26,"[71.57794   0.       70.12442   0.        0.        0.       67.243904
  0.        0.      ]",[  0.  19. -12.],[  0.02  16.35 -10.27]
74,5461,0,36.83,3.17,37.99,"[79.079704  0.        0.        0.        0.        0.       77.348526
  0.       73.610756]",[  0.  19. -12.],[ 2.000e-02  2.071e+01 -1.312e+01]
75,5461,0,37.95,2.05,35.51,"[84.874626 84.64415   0.        0.        0.       83.77584  83.65776
 82.75913   0.      ]",[  0.  19. -12.],[ 2.000e-02  2.495e+01 -1.639e+01]
76,5461,1,32.61,7.39,42.2,"[81.453094 81.62356   0.        0.        0.       80.9023    0.
 79.680084 77.146835]",[  0.  19. -12.],[ 2.000e-02  2.902e+01 -1.963e+01]
77,5461,6,27.4,12.6,36.88,"[ 0.       78.18707   0.        0.        0.       78.80451  80.2656
  0.       75.203354]",[  0.  19. -12.],[ 2.000e-02  3.297e+01 -2.316e+01]
78,5461,2,22.12,17.88,37.23,"[ 0.        0.       73.797874  0.        0.       73.43173   0.
  0.       70.2589  ]",[  0.  19. -12.],[ 1.000e-02  3.670e+01 -2.594e+01]
79,5461,8,17.47,22.53,28.65,"[ 0.        0.        0.        0.        0.        0.        0.
  0.       69.447624]",[  0.  19. -12.],[  0.    40.65 -29.84]
80,5461,6,11.95,28.05,46.9,"[ 0.       61.20817  62.823147  0.        0.        0.       66.09235
 61.812443 62.745014]",[  0.  19. -12.],[-1.000e-02  4.467e+01 -3.231e+01]
