Episode,Action,Reward,Remaining length,Loss,NN Output,Punto objetivo,Posición actual
1,1080,4,19.67,20.33,0,0,[ 4. 19. -9.],[ 0.47  2.23 -4.01]
2,1080,6,22.16,17.84,0,0,[ 4. 19. -9.],[ 0.54  2.55 -4.1 ]
3,1080,4,22.49,17.51,0,0,[ 4. 19. -9.],[ 0.59  2.77 -4.14]
4,1080,4,22.72,17.28,0,0,[ 4. 19. -9.],[ 0.63  2.98 -4.2 ]
5,1080,7,22.94,17.06,0,0,[ 4. 19. -9.],[ 0.68  3.2  -4.24]
6,1080,2,23.16,16.84,0,0,[ 4. 19. -9.],[ 0.72  3.4  -4.27]
7,1080,7,23.38,16.62,0,0,[ 4. 19. -9.],[ 0.77  3.62 -4.32]
8,1080,2,23.6,16.4,0,"[50.32786  50.960575 53.890667  0.        0.       51.23097   0.
 50.13816  50.02115 ]",[ 4. 19. -9.],[ 3.06 11.08 -4.02]
9,1080,0,30.59,9.41,0,0,[ 4. 19. -9.],[ 3.11 11.06 -4.03]
10,1080,5,30.59,9.41,0,0,[ 4. 19. -9.],[ 3.16 11.05 -4.05]
11,1080,1,30.59,9.41,0,"[59.774097 60.4432    0.        0.        0.       60.37857   0.
 59.47469   0.      ]",[ 4. 19. -9.],[ 3.21 11.04 -4.07]
12,1080,1,30.6,9.4,0,0,[ 4. 19. -9.],[ 3.26 11.03 -4.11]
13,1080,5,30.62,9.38,0,0,[ 4. 19. -9.],[ 3.31 11.02 -4.16]
14,1080,2,30.65,9.35,0,"[ 0.       0.      63.46704  0.       0.       0.       0.      59.58901
  0.     ]",[ 4. 19. -9.],[ 3.36 11.02 -4.22]
15,1080,1,30.68,9.32,0,"[59.947575 60.61623   0.        0.        0.        0.        0.
 59.639713 59.470985]",[ 4. 19. -9.],[ 3.42 11.02 -4.31]
16,1080,1,30.72,9.28,0,0,[ 4. 19. -9.],[ 3.46 11.02 -4.4 ]
17,1080,0,30.77,9.23,0,0,[ 4. 19. -9.],[ 3.51 11.03 -4.51]
18,1080,0,30.84,9.16,0,"[60.111267  0.        0.        0.        0.        0.        0.
  0.        0.      ]",[ 4. 19. -9.],[ 3.56 11.03 -4.64]
